                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.67229,                0.82449,                 1.0454,                0.71699,                0.58559,                0.72928,                 0.5842,                0.89152,                 1.7146,                 1.2973,             0.00073704,             0.00073704,             0.00073704
                     36,                0.62052,                0.77936,                0.99293,                 0.6541,                 0.6405,                0.67704,                0.53551,                 0.8471,                 1.6256,                 1.2735,             0.00072604,             0.00072604,             0.00072604
                     37,                0.62788,                 0.7834,                 1.0219,                0.50539,                0.69667,                 0.6387,                0.48543,                0.88219,                 1.7573,                 1.3449,             0.00071504,             0.00071504,             0.00071504
                     38,                0.63485,                0.75689,                 1.0215,                0.72196,                0.57079,                 0.7345,                0.57384,                0.85972,                 1.4723,                  1.252,             0.00070404,             0.00070404,             0.00070404
                     39,                0.58492,                0.70146,                0.99549,                0.59577,                0.75246,                0.73164,                0.53364,                0.86318,                 1.5545,                 1.2381,             0.00069304,             0.00069304,             0.00069304
                     40,                0.57403,                0.68872,                0.99163,                0.72099,                0.59785,                0.68106,                0.52161,                0.76166,                 1.7162,                 1.1695,             0.00068204,             0.00068204,             0.00068204
                     41,                0.61189,                0.70448,                 1.0052,                0.63035,                0.67212,                0.68484,                0.48832,                 0.8662,                 1.8354,                 1.2457,             0.00067104,             0.00067104,             0.00067104
                     42,                0.62985,                0.71327,                 1.0144,                0.76631,                0.60363,                0.71542,                0.59388,                0.75498,                 1.5975,                 1.1575,             0.00066005,             0.00066005,             0.00066005
                     43,                0.56468,                0.65455,                0.98043,                0.65725,                0.69667,                0.71857,                 0.5611,                0.80718,                 1.4116,                 1.2086,             0.00064905,             0.00064905,             0.00064905
                     44,                0.62101,                0.68199,                  1.007,                0.66237,                0.73101,                0.72232,                0.51436,                0.90421,                 1.5059,                 1.2902,             0.00063805,             0.00063805,             0.00063805
                     45,                0.58195,                0.69843,                0.99764,                0.57354,                0.83389,                0.73818,                0.53589,                0.78391,                 1.5371,                 1.1766,             0.00062705,             0.00062705,             0.00062705
                     46,                0.60802,                 0.6783,                  1.009,                0.64526,                0.73333,                0.71091,                0.57564,                0.71161,                 1.4241,                 1.1305,             0.00061605,             0.00061605,             0.00061605
                     47,                0.55413,                0.64114,                 0.9858,                0.78651,                0.72409,                0.74973,                0.57891,                0.85469,                 1.4275,                  1.331,             0.00060505,             0.00060505,             0.00060505
                     48,                0.56153,                0.64522,                0.98759,                0.72143,                0.75598,                0.79235,                0.60774,                0.90903,                 1.3243,                 1.3641,             0.00059405,             0.00059405,             0.00059405
                     49,                0.56387,                0.61336,                0.98741,                0.65785,                0.81181,                0.80715,                0.63208,                0.80508,                    1.2,                 1.2676,             0.00058305,             0.00058305,             0.00058305
                     50,                0.56202,                0.61888,                0.98376,                0.73186,                0.73859,                0.81404,                0.65377,                0.78069,                 1.2799,                 1.2055,             0.00057205,             0.00057205,             0.00057205
                     51,                0.54765,                0.63172,                0.97365,                0.80021,                0.79892,                0.84683,                0.68313,                0.74182,                 1.1345,                 1.1445,             0.00056105,             0.00056105,             0.00056105
                     52,                0.53813,                0.57434,                0.97779,                0.73797,                 0.7541,                0.80329,                0.64716,                0.72542,                 1.2606,                 1.1505,             0.00055006,             0.00055006,             0.00055006
                     53,                0.51708,                0.58271,                0.95925,                0.72495,                0.78184,                0.80102,                0.64895,                0.71884,                 1.2863,                 1.1639,             0.00053906,             0.00053906,             0.00053906
                     54,                0.52166,                 0.5796,                 0.9566,                0.69908,                0.85151,                0.82319,                0.68937,                0.65594,                 1.1467,                 1.0688,             0.00052806,             0.00052806,             0.00052806
                     55,                  0.542,                0.55221,                0.97747,                0.78337,                0.68586,                0.83697,                0.69068,                0.69874,                  1.187,                  1.102,             0.00051706,             0.00051706,             0.00051706
                     56,                0.53373,                0.56247,                0.98947,                0.76572,                0.64095,                0.82669,                0.67362,                0.69047,                 1.2829,                 1.0927,             0.00050606,             0.00050606,             0.00050606
                     57,                0.52399,                0.56273,                0.96437,                0.61424,                0.84163,                0.79325,                0.64713,                0.68645,                 1.2383,                 1.0828,             0.00049506,             0.00049506,             0.00049506
                     58,                0.53547,                0.56921,                0.97453,                0.75327,                0.75094,                0.80048,                0.66689,                0.75643,                 1.2117,                 1.1295,             0.00048406,             0.00048406,             0.00048406
                     59,                0.52132,                0.56856,                0.96426,                0.81067,                0.76763,                0.87484,                0.71834,                0.72729,                 1.0875,                 1.1315,             0.00047306,             0.00047306,             0.00047306
                     60,                0.51676,                0.54987,                0.96242,                0.75558,                0.78952,                0.84996,                0.68809,                0.71064,                 1.0824,                 1.1102,             0.00046206,             0.00046206,             0.00046206
                     61,                0.52967,                0.58627,                0.97984,                 0.7949,                0.77254,                0.80991,                0.68555,                0.64973,                 1.1064,                 1.0798,             0.00045107,             0.00045107,             0.00045107
                     62,                 0.4925,                0.51978,                0.95059,                0.74788,                0.78679,                0.79987,                0.66994,                0.62467,                 1.1503,                 1.0499,             0.00044007,             0.00044007,             0.00044007
                     63,                0.47818,                 0.5106,                0.95077,                0.79773,                0.78271,                0.83309,                0.68876,                0.70534,                 1.1017,                 1.1195,             0.00042907,             0.00042907,             0.00042907
                     64,                0.49805,                0.53789,                0.96027,                0.73008,                0.78963,                0.79645,                0.66431,                0.69924,                 1.0977,                 1.1039,             0.00041807,             0.00041807,             0.00041807
                     65,                0.49856,                0.53005,                0.95576,                0.70221,                0.83601,                0.79788,                0.65382,                0.68197,                  1.186,                  1.089,             0.00040707,             0.00040707,             0.00040707
                     66,                0.49192,                0.52006,                0.94761,                0.72589,                0.76176,                0.78884,                0.66111,                 0.6318,                 1.1525,                 1.0684,             0.00039607,             0.00039607,             0.00039607
                     67,                0.45989,                0.50378,                0.94129,                0.71704,                0.76333,                0.77324,                0.66692,                0.61681,                 1.1995,                 1.0444,             0.00038507,             0.00038507,             0.00038507
                     68,                0.46886,                0.51201,                0.94732,                0.73651,                0.71915,                0.78092,                0.64247,                0.61982,                 1.1872,                  1.053,             0.00037407,             0.00037407,             0.00037407
                     69,                0.46242,                 0.4739,                0.93948,                0.70882,                0.72794,                0.77329,                 0.6386,                0.62867,                 1.1902,                 1.0572,             0.00036307,             0.00036307,             0.00036307
                     70,                0.47343,                0.46895,                0.94227,                0.67094,                0.74858,                0.79153,                0.67483,                0.63282,                 1.1401,                 1.0748,             0.00035208,             0.00035208,             0.00035208
                     71,                0.45407,                0.47079,                0.93892,                0.59456,                0.87638,                0.81207,                0.66818,                0.64809,                 1.1274,                 1.0675,             0.00034108,             0.00034108,             0.00034108
                     72,                0.47245,                0.47706,                 0.9475,                0.69144,                0.78091,                0.80713,                0.66759,                0.62545,                 1.1189,                 1.0698,             0.00033008,             0.00033008,             0.00033008
                     73,                0.43955,                0.44799,                0.92771,                0.77257,                0.74997,                0.82834,                 0.6892,                0.63753,                 1.0569,                 1.0962,             0.00031908,             0.00031908,             0.00031908
